mode: atomic
icapeg/icap/bridge.go:22.50,24.2 1 0
icapeg/icap-client/test_server.go:69.23,71.4 1 0
icapeg/icap-client/test_server.go:77.85,80.4 2 0
icapeg/icap-client/test_server.go:86.60,90.4 3 0
icapeg/icap-client/test_server.go:93.56,95.4 1 0
icapeg/icap-client/test_server.go:97.55,99.4 1 0
icapeg/icap-client/test_server.go:106.62,111.20 4 0
icapeg/icap-client/test_server.go:112.17,115.23 3 0
icapeg/icap-client/test_server.go:118.3,119.43 2 0
icapeg/icap-client/test_server.go:120.16,122.85 1 0
icapeg/icap-client/test_server.go:129.3,132.25 3 0
icapeg/icap-client/test_server.go:136.3,136.24 1 0
icapeg/icap-client/test_server.go:140.3,140.36 1 0
icapeg/icap-client/test_server.go:115.23,117.4 1 0
icapeg/icap-client/test_server.go:122.85,125.4 2 0
icapeg/icap-client/test_server.go:132.25,134.4 1 0
icapeg/icap-client/test_server.go:136.24,138.4 1 0
icapeg/icap-client/test_server.go:145.31,147.16 2 0
icapeg/icap-client/test_server.go:150.2,151.14 2 0
icapeg/icap-client/test_server.go:147.16,149.3 1 0
icapeg/icap-client/transport.go:22.34,25.16 2 0
icapeg/icap-client/transport.go:29.2,29.82 1 0
icapeg/icap-client/transport.go:33.2,33.84 1 0
icapeg/icap-client/transport.go:37.2,39.12 2 0
icapeg/icap-client/transport.go:25.16,27.3 1 0
icapeg/icap-client/transport.go:29.82,31.3 1 0
icapeg/icap-client/transport.go:33.84,35.3 1 0
icapeg/icap-client/transport.go:43.64,48.16 2 0
icapeg/icap-client/transport.go:52.2,52.82 1 0
icapeg/icap-client/transport.go:56.2,56.84 1 0
icapeg/icap-client/transport.go:60.2,62.12 2 0
icapeg/icap-client/transport.go:48.16,50.3 1 0
icapeg/icap-client/transport.go:52.82,54.3 1 0
icapeg/icap-client/transport.go:56.84,58.3 1 0
icapeg/icap-client/transport.go:66.53,70.2 3 0
icapeg/icap-client/transport.go:73.44,79.6 3 0
icapeg/icap-client/transport.go:117.2,117.26 1 0
icapeg/icap-client/transport.go:79.6,84.17 3 0
icapeg/icap-client/transport.go:92.3,92.13 1 0
icapeg/icap-client/transport.go:97.3,98.41 2 0
icapeg/icap-client/transport.go:103.3,103.51 1 0
icapeg/icap-client/transport.go:108.3,108.55 1 0
icapeg/icap-client/transport.go:113.3,113.25 1 0
icapeg/icap-client/transport.go:84.17,85.21 1 0
icapeg/icap-client/transport.go:89.4,89.18 1 0
icapeg/icap-client/transport.go:85.21,87.10 2 0
icapeg/icap-client/transport.go:92.13,94.9 2 0
icapeg/icap-client/transport.go:98.41,100.9 2 0
icapeg/icap-client/transport.go:103.51,105.9 2 0
icapeg/icap-client/transport.go:108.55,110.9 2 0
icapeg/icap-client/transport.go:121.35,123.2 1 0
icapeg/icap-client/driver.go:23.47,28.2 1 0
icapeg/icap-client/driver.go:31.34,42.2 2 0
icapeg/icap-client/driver.go:45.64,55.2 2 0
icapeg/icap-client/driver.go:58.32,59.18 1 0
icapeg/icap-client/driver.go:64.2,64.22 1 0
icapeg/icap-client/driver.go:59.18,62.3 1 0
icapeg/icap-client/driver.go:68.42,72.16 2 0
icapeg/icap-client/driver.go:76.2,76.12 1 0
icapeg/icap-client/driver.go:72.16,74.3 1 0
icapeg/icap-client/driver.go:81.47,85.16 2 0
icapeg/icap-client/driver.go:89.2,91.16 2 0
icapeg/icap-client/driver.go:95.2,98.18 3 0
icapeg/icap-client/driver.go:85.16,87.3 1 0
icapeg/icap-client/driver.go:91.16,93.3 1 0
